WorkerId,variable,value
0ff8f57f8035f03deaaccd4ba42671478be14006174819aef19ec758,Answer.ans1_BV_scolding,1
cd2e6bc31a332a8c813335df230507d74b1b8654b6283f9b07c5772e,Answer.ans1_BV_scolding,2
d84d799fe336f727221ed4149234fddfbffcdb0eb45c1d82be5b368a,Answer.ans1_BV_scolding,3
b4e9542a966d5a31d35e4b855747d437498c343d6bc13767d5d576cd,Answer.ans1_BV_scolding,1
a6f8c5e72f13a088159caaaf5795b601ea6382a8ffb5d573ba99fe43,Answer.ans1_BV_scolding,1
06fae234c287d794de3d0e897ab63534c95137cec7a55350ed1d7e4a,Answer.ans1_BV_scolding,2
26657522d20a0dbcc402993534de66e455d506b425ee4fa8da42374d,Answer.ans1_BV_scolding,2
1b2c3aad416809a829ce115651506496a9a55b60fb9c90c4cb7a578a,Answer.ans1_BV_scolding,3
12a6efd735f8cd5774fbfc573fd7e45048d8f2a0b67fd5a889d8aa0d,Answer.ans1_BV_scolding,2
640c7916f55530c8520794c5ffdf4ecaeeb6f4b3abdb681676cbc68f,Answer.ans1_BV_scolding,1
2d937870904ad0173e2fe42078d367b45f1f3929e539af52eca85de2,Answer.ans1_BV_scolding,1
cc2d82641477673b2c07a5d06b8eb7b4b9305e8ffdbddf902230ef0b,Answer.ans1_BV_scolding,2
913725dbbe8c04722d676a5a0305f19b03f9d590fbfefec00c4b79eb,Answer.ans1_BV_scolding,1
7d537622bb423d66db7d3c05c18a8adbb1b037c834fb95bb8b40d612,Answer.ans1_BV_scolding,2
2be6e3a7385c5586f24f60a691422f1f383611689382a07e1aa9cfda,Answer.ans1_BV_scolding,3
9919c473bc13b93223dcf1e3b043e68b48bf244f36ffc822fb89673c,Answer.ans1_BV_scolding,2
7f848c5b2539f7208310f628c94d806c7a152260856fd59b2222c73f,Answer.ans1_BV_scolding,1
a424f2e097773e95b0b7424553f3d47aa7f8395fe04e293de3c76d78,Answer.ans1_BV_scolding,2
4a4511da132e83939a028a5c13e72d63cbac1e7ca962bd3f8d18f42d,Answer.ans1_BV_scolding,2
384cc16c1e5bd9be0c2e766580301c86da299abc0ce1d305bc8abc60,Answer.ans1_BV_scolding,2
