workerID,sentID,category,pair,lettervalue,numvalue,durCat,eventCat
08e9f6dd9ad87bf06f3b92e3e2c90afdd5184e21422bdc0e54f57863,LVC_11,LVC,11,a,1,short,contact
e9a830ba8e51932e279722944c66068528131c7bf857ae85eee81ad3,LVC_11,LVC,11,a,1,short,contact
84992c62ea077f56f48e464b0974cca29a92d7b78b2b96cd98646fdf,LVC_11,LVC,11,c,3,short,contact
946f58ea16305ca88ebeb6e389be18902a4546fa74a139cdf362d755,LVC_11,LVC,11,b,2,short,contact
a97faff50d61b29a17ecd1797936ea1834dc565bd34fb618e85cb4f5,LVC_11,LVC,11,a,1,short,contact
68a6526cad0051b05bb3537681c32e7f64ae3c368705e7bc9c2d36d8,LVC_11,LVC,11,c,3,short,contact
b0ab2559d3f17720f6d74f719da7a352c12c254c4720d1153eb3f795,LVC_11,LVC,11,c,3,short,contact
abf3c9edf153e08b04daec0a044aa6b156bb6fa679675c9dbbcfa7d6,LVC_11,LVC,11,b,2,short,contact
35359d4505d2696d3dbd5184add13629ff071032af161d1ceabd2e1c,LVC_11,LVC,11,c,3,short,contact
b1b209ca272fe2b2aab6d3f0ed6d69458a8d9ed04d17d7d14c1be764,LVC_11,LVC,11,b,2,short,contact
cd2e6bc31a332a8c813335df230507d74b1b8654b6283f9b07c5772e,LVC_11,LVC,11,b,2,short,contact
855e65dbf9c45f724954e3d18e6236d884c436766afeff629e96ad89,LVC_11,LVC,11,b,2,short,contact
218ad691485107901e9c08b322d32aa0fa76afb3589f0abf1817f96b,LVC_11,LVC,11,b,2,short,contact
bf4b738921f63f33f2da0f3721d59133c5684f17fcd9d862602b4852,LVC_11,LVC,11,c,3,short,contact
52c27b935388d0c10908ec30128e73297ffae45448ad755d8566b05e,LVC_11,LVC,11,a,1,short,contact
f014adcf0d3c19e6c06be4637283c7cee8381661dfcbd16ed378961e,LVC_11,LVC,11,a,1,short,contact
c2577d27cfd0f583c27b1491ab904e6bb85fa80b34c1991cfa154fd5,LVC_11,LVC,11,a,1,short,contact
88c074392f95de9df0c70e4c05a21b3e260747bcba809e98efd1ae43,LVC_11,LVC,11,b,2,short,contact
4cc85c2d3087fd75fe8d2be4eb0abe941b18809599f525fe2fb2c710,LVC_11,LVC,11,a,1,short,contact
